onset	duration	trial_type	identifier	response
0.5000658	2.993321	dyad	yt-AhM9i0zrIEo_19.mp4	1
4.25651	2.995847	dyad	flickr-5-2-4-7-4-1-5-5-6952474155_71.mp4	1
8.007609	2.98621	dyad	-YwZOeyAQC8_15.mp4	1
11.75877	3.000506	dyad	yt-eKsNke8uDhE_5.mp4	1
15.50976	2.984726	dyad	vine-Nononononono-twerking-weird-clapping-no-Kevin-Marshall-hHqMIJdWz7E_3.mp4	1
19.26178	2.991892	dyad	vine-MBwjdF6eU79_2.mp4	0
23.01267	2.999977	dyad	yt-74Pt4L0NrGo_187.mp4	0
26.76319	2.991657	dyad	flickr-5-7-2-8-0-0-7-2-3957280072_16.mp4	0
30.51392	2.982569	dyad	yt-HYtGXOKUyCk_5.mp4	0
34.26503	2.989796	dyad	IkTAuzVeD2Q_46.mp4	0
38.01558	2.997774	dyad	yt-gdfrW0ohNCU_61.mp4	0
41.76606	2.989858	dyad	yt-cf6C48WpbPE_21.mp4	0
45.51658	2.998003	dyad	yt-K2Ysv5Y6tYo_297.mp4	0
49.26706	2.989598	dyad	yt-MqMKjrKRXmI_35.mp4	0
53.01748	2.980513	dyad	flickr-4-1-7-8-1-9-6-2-3941781962_7.mp4	0
56.76801	2.98856	dyad	yt-yNeLe_a2pck_651.mp4	0
60.51852	2.980339	dyad	bing-heavy_com_entertainment_2017_10_this-is-us-spoilers-chrissy-metz-kate-singing-songs__249.mp4	0
64.26904	2.989054	dyad	yt-lTeHKYHiVcM_15.mp4	0
68.01942	2.97993	crowd	yt-_0hmyfiUh1U_29.mp4	0
71.76994	2.987711	dyad	flickr-0-6-1-2-0-7-8-4-4606120784_26.mp4	0
75.52044	2.979915	crowd	yt-_Ey9knC5X3g_5.mp4	0
79.27094	2.987834	dyad	flickr-4-9-9-9-8-3-1-6-25549998316_29.mp4	0
83.02137	2.980037	crowd	2KvODAvWWrQ_130.mp4	0
86.77188	2.970808	crowd	yt-agTq1dEFUWE_52.mp4	0
90.52243	2.996181	dyad	flickr-1-9-7-9-4-8-8-5-5319794885_45.mp4	0
94.27301	2.987761	dyad	yt-PWO7CMF5otY_336.mp4	0
98.02343	2.99558	dyad	yt-k6Ildfvd4wA_76.mp4	0
101.774	2.987119	dyad	yt-DlUgLVITRn0_3.mp4	0
105.5247	2.995188	dyad	yt-3feY7fLgX4M_737.mp4	0
109.2752	2.98614	dyad	yt-yIvortOp_D8_304.mp4	0
113.0258	2.977456	dyad	flickr-7-4-1-1-3-9-5-4-8274113954_15.mp4	0
116.7765	2.986345	dyad	yt-2ULEIoRKW_Q_35.mp4	0
120.5271	2.994022	dyad	yt-AXeXiTb9ntA_162.mp4	0
124.2776	2.985168	dyad	yt-84Tw9n59zw0_24.mp4	0
128.0283	2.993227	dyad	yt-2Ks8gsK22PA_14.mp4	0
131.7788	2.984805	dyad	yt-q8mU6W5UqPk_27.mp4	0
135.5294	2.992285	dyad	yt-9LkmwSItZlk_5.mp4	0
139.28	2.98477	dyad	flickr-7-7-0-5-0-7-0-9-4177050709_33.mp4	0
143.0305	2.99255	dyad	flickr-4-1-6-2-6-0-0-0-23041626000_1.mp4	0
146.7812	3.000575	dyad	flickr-9-3-2-2-7-4-6-7-4593227467_2.mp4	0
150.5317	2.991891	dyad	yt--7QDJQU657I_4.mp4	0
154.2822	2.983748	dyad	yt-NQKRncc6YX8_35.mp4	0
158.0327	2.991417	dyad	yt-gcN3azy8GDY_38.mp4	0
161.7833	3.000068	dyad	yt-iRPNwUaA-5w_236.mp4	0
165.5339	2.991293	dyad	WJ-84ioZqcc_41.mp4	0
169.2843	2.982815	dyad	yt-KYxzJcHV8bI_485.mp4	0
173.0348	2.990618	dyad	flickr-2-3-8-6-9-3-6-0-2823869360_23.mp4	0
176.7855	2.9824	dyad	flickr-4-2-6-5-6-4-7-1-5442656471_12.mp4	0
180.5361	2.990101	dyad	flickr-0-1-6-8-3-2-4-3-4401683243_31.mp4	0
184.2866	2.982145	dyad	yt-orhTrit8STg_509.mp4	0
188.0373	2.988498	dyad	yt-A77SpYVvfKE_5.mp4	0
191.7878	2.981248	dyad	yt-gEpYfnTt5_c_51.mp4	0
195.5383	2.98924	dyad	9hlyu-wDkg4_4.mp4	0
199.2887	2.997702	dyad	flickr-1-1-2-0-2-4-6-6-7211202466_8.mp4	0
203.0392	2.989396	dyad	yt-BVDyfz_RdZo_168.mp4	0
400.0773	2.986348	dyad	yt-OurLBAGyI9c_16.mp4	1
403.8278	2.994566	dyad	yt-H_bBYuPxXkU_71.mp4	0
407.5784	3.002231	dyad	yt-xp4X1QnB1GE_1595.mp4	0
411.329	2.992747	dyad	yt-zGPMQDq1VdU_39.mp4	0
415.0794	3.003904	dyad	yt-K1EmbP7RMrQ_103.mp4	0
418.83	2.992865	dyad	yt-WsSVHEX7LdQ_144.mp4	0
422.5805	3.0028	dyad	yt-aunEHRTiMrQ_22.mp4	0
426.3313	2.989588	dyad	yt-0QzC8ORgZlM_35.mp4	0
430.0817	2.983587	dyad	yt-CQzqhM81T_M_5.mp4	0
433.8323	2.993441	dyad	yt-lzsldb9fo70_4.mp4	0
437.5829	3.00007	dyad	yt-zcz5nb7m-Y4_55.mp4	0
441.3334	2.992168	dyad	yt-4JNdEFzM86k_274.mp4	0
445.084	2.999882	dyad	yt-EB_2BGaRiNU_9.mp4	0
448.8347	2.992994	dyad	flickr-2-2-8-4-6-0-2-0-8222846020_11.mp4	0
452.5852	2.979908	crowd	yt-8ssH5pwNNXI_17.mp4	0
456.3356	2.989525	dyad	vine-MKEjBiBY6Fw_1.mp4	0
460.0862	2.980597	dyad	yt-gyHCZmoE-Gc_173.mp4	0
463.8367	2.990322	dyad	b7y36KyAIoI_120.mp4	0
467.5872	2.99878	dyad	flickr-5-0-2-0-2-2-2-2-2450202222_18.mp4	0
471.3379	2.982989	dyad	giphy-5gH28DhukBKlq_2.mp4	0
475.0885	2.999722	dyad	yt-ix0bg7Lgyas_26.mp4	0
478.839	2.988549	dyad	yt-qxNosFrsK1k_55.mp4	0
482.5895	2.990821	dyad	flickr-7-9-6-9-9-2-6-7-5479699267_3.mp4	0
486.3399	2.988569	dyad	vine-A-kid-bowing-a-wheel-JohnnyRandom-MgJUX6q5pV5_1.mp4	0
490.0906	2.996297	dyad	vine-MVvgr5hA3JD_1.mp4	0
493.8419	3.005761	dyad	yt-cs7e8XeuSGw_61.mp4	0
497.5924	3.016243	dyad	yt---kgxi3dRc8_202.mp4	0
501.3429	2.986896	crowd	vine-Clapping-to-make-the-clunk-of-the-water-wheel-with-Beckett-School-pupils-remakemuseum-Mte3Z7gqFh2_3.mp4	0
505.0935	2.996849	dyad	flickr-3-5-1-9-5-7-1-6-5535195716_54.mp4	0
508.8442	2.986023	dyad	yt-1iRW2U2jNPA_888.mp4	0
512.5947	2.995431	dyad	yt-UZjgD-xTz9Q_310.mp4	0
516.345	2.980149	dyad	yt_R-62JchDNyM7U_143.mp4	0
520.0957	2.994164	dyad	flickr-3-3-2-8-3-2-3-7-2833283237_47.mp4	0
523.8464	3.003412	dyad	yt-UdFXugWdS94_32.mp4	0
527.597	2.991001	dyad	yt-n2JqR0WrAFA_35.mp4	0
531.3476	3.00201	dyad	flickr-8-3-1-6897055831_10.mp4	0
535.0981	2.992564	dyad	yt-6RiK4Sg2tSY_75.mp4	0
538.8488	2.984462	dyad	yt-LBVBFl3eNg8_88.mp4	0
542.5995	2.992271	dyad	yt-MJMvM4DjVVY_67.mp4	0
546.35	3.000379	dyad	yt-3cMBMW1l4L8_137.mp4	0
550.1005	2.990773	dyad	yt-7we4oftPEXo_245.mp4	0
553.8511	2.982265	dyad	yt-P3MNLNyt_98_51.mp4	0
557.6018	2.991933	dyad	yt-iW8qXrKxfsk_18.mp4	0
561.3523	3.000282	dyad	yt-_I70R4j_tjA_309.mp4	0
565.1029	2.990309	dyad	yt-dUQG4COAK54_46.mp4	0
568.8535	2.998847	dyad	flickr-4-7-7-6-8-6-8-3-10147768683_30.mp4	0
572.6039	2.98972	dyad	yt-lif69GRiRLE_101.mp4	0
576.3545	2.99817	dyad	yt-q__8ex88Ow0_60.mp4	0
580.105	2.989935	dyad	yt-HT3D9Cpx8Lw_28.mp4	0
583.8554	3.001626	dyad	yt-cYECXplgRi4_15.mp4	0
587.606	2.992028	dyad	flickr-9-7-4-6-7-4-5-2-2597467452_51.mp4	0
591.3565	2.998725	dyad	flickr-5-3-3-2-7-2-4-7-3053327247_9.mp4	0
595.1072	2.989203	dyad	flickr-7-3-3-1-0-7-1-8-2773310718_8.mp4	0
598.8577	2.99672	dyad	yt-4GeYyT0lwQ0_20.mp4	0
602.6083	2.975088	crowd	vine-MLzpzZvA6mu_3.mp4	0
628.3296	2.991536	dyad	yt-M7LSf18G1-k_30.mp4	1
632.08	2.988107	dyad	2-8-0-2-5-4-8-8-5028025488_7.mp4	0
635.8307	2.994906	dyad	yt-SHe7vXXrv44_21.mp4	0
639.5811	2.987654	dyad	1AIVH5cEWrI_35.mp4	0
643.3317	2.980726	dyad	flickr-1-8-1-1-6-5-4-7-6118116547_81.mp4	0
647.0822	3.007342	dyad	vine-hxLaMMzZhv0_1.mp4	0
650.8328	2.9949	dyad	yt-FSXBt3Sak1E_25.mp4	0
654.5832	2.986279	dyad	yt-5K_c4LG7CEE_35.mp4	0
658.3337	3.012011	dyad	yt-xnqqB-leeaQ_128.mp4	0
662.0842	2.985777	dyad	twUN1iwMWgY_1320.mp4	0
665.8347	2.995025	dyad	yt-F0Ede8UiICQ_38.mp4	0
669.5852	2.987463	dyad	flickr-8-9-7-9-5-0-4-1-6189795041_19.mp4	0
673.3356	2.988259	dyad	7-5-1-0-3-6-9-8-3775103698_9.mp4	0
677.0862	2.98681	dyad	3PJaYWt0cws_5.mp4	0
680.8368	2.971369	crowd	yt-aQfXbZo8UZI_145.mp4	0
684.5872	2.982894	dyad	yt-1iBn-CjHBgc_22.mp4	0
688.3377	2.993806	dyad	yt-qjtSPSnY_Aw_2.mp4	0
692.0883	2.984426	dyad	yt-Qk-3RGy0rwk_18.mp4	0
695.8388	3.011352	dyad	t2z1X76v4ys_178.mp4	0
699.5892	2.985651	dyad	yt-ZXSB3uT5Rk8_91.mp4	0
703.3399	2.986271	dyad	yt-fBN0EWsZbnk_14.mp4	0
707.0905	2.986505	dyad	yt-vfa6yhHnhsU_151.mp4	0
710.8409	2.97478	crowd	yt--O4Fx2w0FiI_211.mp4	0
714.5914	3.000728	dyad	yt-Z02VjQcNxv0_5.mp4	0
718.342	2.990816	dyad	vine-Discussing-gopher-problems-with-Frank-from-the-parks-department-hLpauJl9VBw_1.mp4	0
722.0926	3.000834	dyad	yt-a9HzBJRWEJw_101.mp4	0
725.8431	2.993739	dyad	yt-K8ATZKxAgck_32.mp4	0
729.5937	2.982204	crowd	flickr-0-4-1-6-1-4-0-9-15504161409_1.mp4	0
733.3442	2.984489	dyad	flickr-0-9-3-5-5-6-6-9-5809355669_3.mp4	0
737.0947	2.982942	dyad	flickr-1-6-4-12557575164_3.mp4	0
740.8453	2.990351	dyad	yt-9OU9ycaIiGM_35.mp4	0
744.5958	2.975706	dyad	flickr-7-8-3-9-5-6-9-1-3078395691_54.mp4	0
748.3464	2.984905	dyad	yt-NyoDNKkeCkE_20.mp4	0
752.097	2.984497	dyad	yt-PZF2qQpnGcI_97.mp4	0
755.8476	2.98886	dyad	yt-KZqqB7yoVYw_11.mp4	0
759.598	2.999024	dyad	yt-uHGsgDLXCns_2999.mp4	0
763.3485	2.989194	dyad	yt-hhmiJzI5caA_52.mp4	0
767.0989	2.997499	dyad	yt-owyra39-RLo_36.mp4	0
770.8495	2.988854	dyad	yt-1icEOZdgkVY_35.mp4	0
774.6001	2.998727	dyad	yt-cqmZWMjSuy0_205.mp4	0
778.3506	2.974557	crowd	yt-2gM1wWqHh1U_4.mp4	0
782.101	2.995844	dyad	yt-gvcE-VktSSg_23.mp4	0
785.8516	2.987979	dyad	yt-m2cwo-pEgDY_25.mp4	0
789.6021	2.996624	dyad	yt-VmGqoK-hmHc_47.mp4	0
793.3526	2.971784	crowd	yt-C7cOctg7F8c_365.mp4	0
797.103	2.998421	dyad	yt-fCaGeX3EZzc_44.mp4	0
800.8537	2.997969	dyad	yt-q4bB_q8QAaA_88.mp4	0
804.6042	2.999033	dyad	yt-0Bzn7lSvTmA_9.mp4	0
808.355	2.987926	crowd	yt-4afyGfunv7o_75.mp4	0
